0,140,Unhealthy for Sensitive Groups,OZONE
1,74,Moderate,PM2.5
0,169,Unhealthy,OZONE
1,91,Moderate,PM2.5
0,169,Unhealthy,OZONE
1,91,Moderate,PM2.5
0,40.81,-73.89,169,Unhealthy,OZONE
1,40.81,-73.89,91,Moderate,PM2.5
